Paragraph ID	Paragraph Text	Classified Anchors
		Ausbildung
		VORAUSSETZUNGEN
		Affinität
		BEI
		Wirtschaftsinformatik
		IT-Bereich
		Berufserfahrung
		Sozialversicherungsfachangestellten
		Qualifikation
		Abgeschlossenes
		Betriebswirt
		FOGLENDE
		Ausbildung
		Abschluss
		ERFÜLLEN
		RICHTIG
		Berufserfahrung
		verbunden
		Informationstechnologie
		UNS
		SIND
		
45a86b68-8615-42b9-a83a-fdb76cf1562d	Ihre Qualifikation: [*] Elektroniker, Techniker oder vergleichbare Ausbildung [*] Kenntnisse in Step 7, wünscchenwert Step 5 sowie Pro Tool und WinCC-Flexible [*] Kenntnisse in dezentraler Peripherie und Bussytemen [*] Grundkenntnisse der Antriebstechnik [*] Gute Englisch-  und Deutschkenntnisse [*] Eigeninitiative, Lernbereitschaft, Teamfähigkeit und Zuverlässigkeit [*] Führerschein Klasse B (alt: 3) [*] Reisebereitschaft	Eigeninitiative
		Elektroniker
		Ausbildung
		Step
		Deutschkenntnisse
		Lernbereitschaft
		Techniker
		WinCC-Flexible
		Zuverlässigkeit
		7
		Kenntnisse
		Tool
		Bussytemen
		Englisch-
		Kenntnisse
		Grundkenntnisse
		Führerschein
		Peripherie
		Reisebereitschaft
		Qualifikation
		Teamfähigkeit
		
c1e8466c-1459-45a5-88b7-d8b9a7efae51	Sie sollten insbesondere : [*] über handwerkliche Kenntnisse verfügen [*] belastbar, zuverlässig und flexibel einsetzbar sein [*] Berufserfahrung wäre wünschenswert [*] PKW-FS ist zwingend erforderlich	flexibel
		Kenntnisse
		zuverlässig
		PKW-FS
		belastbar
		Berufserfahrung
		
a8d1d650-b02c-4862-9ad5-327e1999244b	Anforderungen: [*] Es sollten Erfahrungen in der Kinderpflege und -betreuung vorhanden sein [*] Teamfähigkeit (Zusammenarbeit mit Lehrkräften, Erziehern_Erzieherinnen, Ärzten_Ärztinnen, Krankenpflegehelferinnen_Krankenpflegehelfern und den Fachdiensten der ___ Blindenschule) [*] Belastbarkeit und flexible Einsatzfähigkeit bezüglich der Arbeitszeit [*] Organisationsvermögen und Fähigkeit zur Realisierung von Verwaltungsvorgängen (bspw. Pflegedokumentation) [*] Sicherer Umgang mit den Softwareprogrammen Word und Excel	Sicherer
		Fachdiensten
		Ärzten_Ärztinnen
		Lehrkräften
		bezüglich
		Teamfähigkeit
		Arbeitszeit
		Erziehern_Erzieherinnen
		Realisierung
		Verwaltungsvorgängen
		Zusammenarbeit
		Blindenschule
		-betreuung
		Belastbarkeit
		Umgang
		Einsatzfähigkeit
		Excel
		Pflegedokumentation
		Fähigkeit
		Krankenpflegehelferinnen_Krankenpflegehelfern
		Kinderpflege
		Word
		Erfahrungen
		Organisationsvermögen
		
9ebfaad5-6820-44be-8adb-6281378849e4	Wir suchen für unser Unternehmen in ___, zum nächstmöglichen Eintritt, 1 Fahrzeuglackierer_in oder Kraftfahrzeugmechatroniker_in mit entsprechenden Lackierkenntnissen. Eine abgeschlossen Ausbildung in diesem Bereich ist wünschenswert, jedoch nicht Bedingung. Einsatz erfolgt in der Fahrzeuglackierung.	Bereich
		Fahrzeuglackierer_in
		Einsatz
		Unternehmen
		Kraftfahrzeugmechatroniker_in
		Lackierkenntnissen
		Eintritt
		Ausbildung
		Fahrzeuglackierung
		Bedingung
		
fb0d43c8-8d49-479c-9a36-961923cbdea8	Anforderungen: [*] eine abgeschlossene kaufmännische Ausbildung ist von Vorteil, jedoch nicht zwingend erforderlich [*] Berufserfahrung im Verkauf sowie botanische Kenntnisse werden vorausgesetzt [*] ein freundlicher Umgang mit unseren Kunden sowie Teamfähigkeit sind uns wichtig.	Vorteil
		Kenntnisse
		Berufserfahrung
		Umgang
		Verkauf
		Ausbildung
		Kunden
		Teamfähigkeit
		
8a6aa65b-11fb-4f0c-9fa0-f9e2505f40c9	Sie werden im a-la-carte-Bereich und in unserem Biergarten tätig sein. Wir wünschen uns einschlägige Berufserfahrung in der Gastronomie.	tätig
		Biergarten
		Berufserfahrung
		
35971325-8943-46b0-aa34-25537fc8e08a	Unsere Anforderungen: Zwingend erforderlich ist eine abgeschlossene Ausbildung als Schlosser_in_ (Anlagenmechaniker_in, betriebsmechaniker_in). Neben Engagement bei der Arbeit hoffen wir auf gute Deutschkenntnisse.	Anlagenmechaniker_in
		Engagement
		Anforderungen
		Schlosser_in_
		erforderlich
		Arbeit
		Deutschkenntnisse
		Ausbildung
		
5c1da82e-bd30-402b-88c4-637ece65afdb	Zur Verstärkung unseres Teams suchen wir laufend hoch motivierte Problemlöser mit IT-Background. Als junges, dynamisches Unternehmen bieten wir eine attraktive Einstiegsposition in einem wachstumsstarken Zukunftsmarkt.	Problemlöser
		Teams
		Zukunftsmarkt
		Einstiegsposition
		Verstärkung
		Unternehmen
		
d9ebc0b4-04cc-4d98-b3e8-9838d02a63f6	Kenntnisse [*] berufliche Erfahrung auf dem Fachgebiet: Flurneuordnung [*] Flurbereinigungsgesetz und Landwirtschaftsanpassungsgesetz ___, ___, ___  und   ___ [*] Bodenrecht [*] Liegenschaftskartendigitalisierung (ALK) [*] Digitale Stadtgrundkarten (DSK) [*] Kenntnisse im Umgang mit dem Geoinformationssystem DAVID [*] Kenntnisse im Umgang mit dem Datenbanksystem   -ORACLE	Umgang
		Kenntnisse
		Stadtgrundkarten
		Fachgebiet
		Landwirtschaftsanpassungsgesetz
		Erfahrung
		Liegenschaftskartendigitalisierung
		Umgang
		Bodenrecht
		Kenntnisse
		Kenntnisse
		Flurbereinigungsgesetz
		Flurneuordnung
		Geoinformationssystem
		Datenbanksystem
		
75018b51-9178-46ff-9676-9f0cbe1dd67e	Wir suchen umgehend flexible Berufskraftfahrer (m_w), welche im Fernverkehr mit unseren Schubboden- LKW unterwegs sind. Berufserfahrung und berufstypische Kenntnisse und Fähigkeiten sind erwünscht.	Schubboden-
		LKW
		Kenntnisse
		Berufserfahrung
		Fähigkeiten
		Fernverkehr
		welche
		Berufskraftfahrer
		
46802c6f-2c1e-42e0-8f02-0eb3f48362d2	Anforderungen: [*] abgeschlossene Ausbildung zum_r Hotelfachmann_-frau; Fachkraft im Gastgewerbe [*] praktische Erfahrung in den genannten Aufgabengebieten [*] Führerschein und PKW, um den Arbeitsort zu erreichen [*] Zuverlässigkeit, Kundenorientierung, selbstständige Arbeitsweise	Arbeitsort
		Ausbildung
		Aufgabengebieten
		Arbeitsweise
		Zuverlässigkeit
		Führerschein
		PKW
		Erfahrung
		Kundenorientierung
		Hotelfachmann_-frau
		Fachkraft
		Gastgewerbe
		
e3c167f2-9a8b-41b2-b105-850960e086d8	Ihre Stärken: Gute Kenntnisse mit den üblichen EDV Systemen, Vaudis, Elsa, WPS, ETKA_SAP setzen wir voraus. Wenn Sie sich den Anforderungen eines modernen Teiledienstes gewachsen sehen, senden Sie bitte die üblichen Bewerbungsunterlagen mit Ihrer Gehaltsvorstellung per Post oder e-mail z.Hd. Herrn ___ E Mail: ___@___.de	Kenntnisse
		gewachsen
		sehen
		Stärken
		ETKA_SAP
		WPS
		Mail
		Teiledienstes
		Herrn
		Systemen
		Anforderungen
		Post
		Bewerbungsunterlagen
		Elsa
		Vaudis
		EDV
		Gehaltsvorstellung
		
23b3abc2-3178-4205-aecf-5efaf8eca483	Voraussetzung: [*] abgeschlossene Ausbildung zum_zur Zimmerer_Zimmerin [*] zuverlässig, flexibel, motiviert [*] Führerschein und Fahrzeug zum Erreichen des Arbeitsortes erforderlich	Voraussetzung
		Erreichen
		flexibel
		motiviert
		Führerschein
		Zimmerer_Zimmerin
		zuverlässig
		Fahrzeug
		Ausbildung
		
085d19a0-c5ec-4ee4-a4e8-87b4a277632c	Ihr Profil: [*] abgeschlossene Ausbildung im Elektrohandwerk idelalerweise als Elektroniker für Betriebs- oder Automatisierungstechnik [*] einschlägige Berufserfahrung im industriellen Umfeld [*] Kenntnisse _ Erfahrung in Automation, Sensorik sowie Kenntnisse in Prozesstechnik, Mess- und Regeltechnik [*] Teamfähigkeit [*] Bereitschaft zur 3- Schichtarbeit und Rufbereitschaft	Teamfähigkeit
		Automation
		Rufbereitschaft
		Ausbildung
		Regeltechnik
		Bereitschaft
		idelalerweise
		Elektroniker
		Sensorik
		Umfeld
		Prozesstechnik
		Erfahrung
		Elektrohandwerk
		Kenntnisse
		Schichtarbeit
		Automatisierungstechnik
		Kenntnisse
		Berufserfahrung
		Mess-
		
a35fecd9-5ba4-4546-98a9-b021136e7d2a	Aktuell suchen wir für unseren Kunden in Wiesbaden-Erbenheim (Kantine) eine_n  erfahrene_n  Koch (m_w) _Großküchenkoch_-köchin MIT FÜHRUNGSERFAHRUNG in Vollzeit Kernzeit: Mo-Fr 07.00-16.00 Uhr	Kantine
		FÜHRUNGSERFAHRUNG
		MIT
		Uhr
		Koch
		Aktuell
		Kunden
		Mo-Fr
		
37e9e581-57b9-4080-b467-4c285efe7729	Zur Verstärkung meines Teams suche ich eine_n engagierte_n, zuverlässige_n, freundliche_n und erfahrene_n	Teams
		zuverlässige_n
		freundliche_n
		Verstärkung
		engagierte_n
		
9cb9ad5b-9bd6-42f1-817e-052662905b31	Zu Ihrem Profil gehören u.a.: [*] eine positive Einstellung zu dieser Arbeit [*] viel Verständnis und Einfühlungsvermögen für ältere & pflegebedürftige Menschen.	Profil
		Arbeit
		Menschen
		Einstellung
		Einfühlungsvermögen
		Verständnis
		
6dc20eb0-4153-43da-aba1-89bc27d8ee33	Es erfolgt ein bundesweiter Einsatz, die Fahrten zu den einzelnen Baustellen erfolgt ab Betriebssitz (___) mit firmeneigenen Fahrzeugen. Ihr Einsatz erfolgt jeweils von Montag bis Donnerstag bzw. Freitag. Sie sollten im Besitz des Pkw-Führerscheins sein.	Fahrzeugen
		Besitz
		Pkw-Führerscheins
		Fahrten
		Freitag
		Donnerstag
		Betriebssitz
		Montag
		Baustellen
		Einsatz
		Einsatz
		
95239e09-272a-4561-8839-a5bd4e8b53d3	Interessierte Bewerber_innen (auch Berufsanfänger_innen) sollten folgende Fähigkeiten und Qualifikationen mitbringen: [*] Fähigkeit, in einem großen Mitarbeiterteam und mit großer Flexibilität zu arbeiten [*] Durchsetzungsvermögen u. selbstständiges Arbeiten bei der Hausaufgabenbetreuung, Lernförderung, bei Projekten und Neigungsgruppen [*] professionelle Arbeit mit Eltern, Lehrern und anderen Kooperationspartnern [*] sehr gute pädagogische Kenntnisse und Einfühlungsvermögen, Interesse an Fortbildungen	Lehrern
		Durchsetzungsvermögen
		Mitarbeiterteam
		Kooperationspartnern
		Neigungsgruppen
		Fähigkeit
		Arbeiten
		Lernförderung
		Arbeit
		Hausaufgabenbetreuung
		Kenntnisse
		Qualifikationen
		Eltern
		Interesse
		Fähigkeiten
		Flexibilität
		Einfühlungsvermögen
		Bewerber_innen
		Fortbildungen
		Projekten
		
27d96f2a-9d1f-431f-b35b-816feaa7296e	Ihr Profil [*] Abgeschlossene Berufsausbildung als Modellbauer (Fachrichtung Karosserie) oder eine vergleichbare Ausbildung [*] Idealerweise Berufserfahrung im Modellbau_Lehrenbau [*] sichere PC-Kenntnisse [*] Flexibilität, Belastbarkeit, Teamfähigkeit [*] Eigenverantwortliche und selbständige Arbeitsweise	PC-Kenntnisse
		Belastbarkeit
		Modellbauer
		Fachrichtung
		Berufserfahrung
		Flexibilität
		Berufsausbildung
		Eigenverantwortliche
		Modellbau_Lehrenbau
		Arbeitsweise
		Teamfähigkeit
		Ausbildung
		
2939c53a-e785-4c05-8129-e8eee801ea2e	Voraussetzungen: [*] Freundlichkeit, zeitliche Flexibilität im Rahmen der Öffnungszeiten (Mo. - Sa. 09:30 - 19:00 Uhr), Freude am Umgang mit Menschen, Spaß am Verkauf und die Beratung von Kunden ist uns wichtig [*] ein gepflegtes Erscheinungsbild wird vorausgesetzt [*] Verkaufserfahrung im gehobenen Einzelhandel	Einzelhandel
		Freude
		Rahmen
		Menschen
		Sa
		Flexibilität
		Verkaufserfahrung
		Erscheinungsbild
		Umgang
		Öffnungszeiten
		Beratung
		Uhr
		Spaß
		Freundlichkeit
		Verkauf
		Mo
		wichtig
		Kunden
		
5ba032d9-848e-4a2a-9552-2db5f097294c	Wie suchen zur sofortigen Einstellung: eine_n Monteur_in in Vollzeit für die Montage von Fenstern & Türen in Dauerstellung. Ideal wäre eine abgeschlossene Berufsausbildung als Tischler oder Schreiner. Berufserfahrung im Montieren von Fenstern und Türen ist erforderlich.	Monteur_in
		Fenstern
		suchen
		Dauerstellung
		Einstellung
		Türen
		Berufserfahrung
		Ideal
		Montage
		Schreiner
		Türen
		Tischler
		Wie
		Berufsausbildung
		Fenstern
		Montieren
		
9acd41cf-2033-4285-9dc6-491df37b7107	Anforderungen: [*] Ausbildung als Koch_Köchin [*] Erfahrungen im Kantinenbereich [*] Engagement, kundenorientiertes Arbeiten [*] Kooperations- und Kommunikationsfähigkeit [*] Flexibilität und Zuverlässigkeit [*] Führerschein Kl. B (alt: FS 3) zwingend erforderlich	Engagement
		Zuverlässigkeit
		Kommunikationsfähigkeit
		Flexibilität
		Ausbildung
		Kooperations-
		Arbeiten
		FS
		Führerschein
		Kantinenbereich
		Erfahrungen
		
3928c64a-c737-458f-9f50-b4ba4d135442	Sie sollten Erfahrung in den Bereichen [*] Wärmedämmung [*] Außenarbeiten [*] und Verputzen haben.	Verputzen
		Wärmedämmung
		Erfahrung
		Außenarbeiten
		
2101c6dc-a364-4179-b319-88a418ede5ef	Wir erwarten umfassende Kompetenzen in Sachen Farbberatung, Haarfärben und -schneiden (___).	Kompetenzen
		-schneiden
		Haarfärben
		Farbberatung
		
4b9f2691-470b-4f6e-a621-9dc357c097f0	Sie besitzen organisatorisches Talent und haben Freude am Umgang mit Menschen? Darüber hinaus sind Sie in der Lage auch in schwierigen Situationen den Überblick und die Ruhe zu bewahren? Wenn Sie zusätzlich noch über Durchsetzungskraft, körperliche Belastbarkeit, einen Staplerschein und Führerschein verfügen, sind Sie bei uns genau richtig.	Menschen
		bewahren
		zusätzlich
		Durchsetzungskraft
		Ruhe
		Talent
		Umgang
		Darüber
		richtig
		Überblick
		hinaus
		Freude
		Führerschein
		Belastbarkeit
		Staplerschein
		Situationen
		
dc0677a6-1d69-4cc8-a262-4cbbe5043248	Sie sollten über eine abgeschlossene Technikerausbildung der Fachrichtung Anlagenbau oder Versorgungstechnik und mehrjährige Berufserfahrung verfügen. Ferner setzen wir gute CAD_PC- Kenntnisse voraus. Kenntnisse in den Bereichen VDE _ VdS, DIN sowie Vertragsrecht (BGB _ VOB) runden Ihr Profil ab. Darüber hinaus sollten Sie gute Kommunikations- und Teamfähigkeit, Flexibilität und Einsatzbereitschaft besitzen. Von Vorteil sind Kenntnisse der Elektro- oder Fernmeldetechnik.	Anlagenbau
		VdS
		Flexibilität
		Bereichen
		Technikerausbildung
		Kenntnisse
		Einsatzbereitschaft
		Darüber
		Berufserfahrung
		Vertragsrecht
		Ferner
		Fernmeldetechnik
		Kommunikations-
		Teamfähigkeit
		Kenntnisse
		Kenntnisse
		Fachrichtung
		Vorteil
		Versorgungstechnik
		CAD_PC-
		DIN
		
79c17268-1815-443d-a4d7-2afa8d7c7153	[*] ***************************************************************************************************************Anforderungen: [*] Studium der Elektrotechnik oder der technischen Informatik TU_FH [*] Sichere Kommunikation in englischer Sprache, eine weitere Fremdsprache wäre hilfreich [*] Eigenverantwortlicher, zielstrebiger und selbstständiger Arbeitsstil [*] Hohe Teamfähigkeit [*] Fundiertes theoretisches und praktisches Wissen, insbesondere in den Bereichen Analog und Digital-technik sowie im Bereich der Mikrocontroler (ARM + DSPIC) [*] Sehr gute PC-Anwenderkenntnisse und fundierte praktische Erfahrungen, speziell mit MS ¿ Office [*] Grundkenntnisse der Programmierung in C_C++, Basic und_oder Pascal sowie Qt-Framework und Linux  [*] ***************************************************************************************************************	Studium
		Informatik
		Analog
		Linux
		ARM
		Wissen
		Qt-Framework
		Erfahrungen
		Eigenverantwortlicher
		Mikrocontroler
		DSPIC
		PC-Anwenderkenntnisse
		Grundkenntnisse
		zielstrebiger
		C_C++
		speziell
		Fundiertes
		Pascal
		Arbeitsstil
		Digital-technik
		Fremdsprache
		Programmierung
		Bereichen
		Sprache
		Kommunikation
		Teamfähigkeit
		
8c9019ef-2386-4c1b-8acb-00ea0b6b6f39	Kundenorientierung, Teamfähigkeit sowie Flexibilität und ein hohes Maß an Freundlichkeit gegenüber unseren Kunden runden Ihr ansprechendes Profil ab.	Profil
		Kunden
		Freundlichkeit
		Teamfähigkeit
		Flexibilität
		Kundenorientierung
		Maß
		
6bc6a883-8315-47cb-b8a6-e86bba557b74	Sie sollten bereits über erste Berufserfahrung im gastronomischen Bereich verfügen. Der Gesundheitspass ist zwingend erforderlich. Eine Ausbildung ist nicht erforderlich, alle Tätigkeiten unterliegen Standards und können leicht erlernt werden. Sie werden bei uns Pizza belegen, Salate zubereiten, Reinigen und gelegntlich auch Pizza ausfahren.	Berufserfahrung
		Salate
		Ausbildung
		zubereiten
		erlernt
		Pizza
		leicht
		Standards
		Bereich
		gelegntlich
		Tätigkeiten
		Reinigen
		erforderlich
		belegen
		Pizza
		Gesundheitspass
		
594b56ae-6f69-4491-9d15-81621ff95ca7	UNSERE ERWARTUNGEN [*] Berufserfahrung im Bereich Behälter- und Apparatebau [*] sehr gute Schweißkenntnisse (WIG) [*] langjährige Erfahrung in Edelstahl-Verarbeitung [*] Eigeninitiative und selbstständiges, gewissenhaftes Arbeiten	Berufserfahrung
		Behälter-
		ERWARTUNGEN
		Apparatebau
		UNSERE
		Schweißkenntnisse
		Eigeninitiative
		Erfahrung
		Arbeiten
		Edelstahl-Verarbeitung
		
e34c6060-fd9b-4972-94a5-6c2046ac2804	Zuverlässigkeit, selbständiges und gewissenhaftes Arbeiten sowie Teamfähigkeit und Montagebereitschaft setzt der Arbeitgeber voraus.	Zuverlässigkeit
		Montagebereitschaft
		Teamfähigkeit
		Arbeitgeber
		Arbeiten
		
37a11a05-be07-41a6-87d0-67e7e5854bd0	Im Rahmen der Tätigkeiten im Kabelleitungstiefbau sind Schachtarbeiten vorzunehmen, Strom- und Kommunikationskabel unterirdisch zu verlegen und auch Hausanschlüsse und Übergabestellen herzustellen. Von Bewerbern wird erwartet, dass [*] Motivation vorhanden ist. [*] bundesweite Mobilität gegeben ist. Hierzu benötigen Sie Führerschein B und Pkw, mit welchem Sie die Baustellen anfahren, soweit dies entfernungsmäßig günstiger erscheint als der Transport per Firmenfahrzeug ab Firmensitz. [*] vorhandener Führerschein bis 7,5 t	dies
		Kabelleitungstiefbau
		Rahmen
		Kommunikationskabel
		erwartet
		soweit
		Schachtarbeiten
		Mobilität
		Transport
		Pkw
		Firmenfahrzeug
		verlegen
		Tätigkeiten
		Strom-
		Bewerbern
		entfernungsmäßig
		Firmensitz
		vorzunehmen
		günstiger
		Hausanschlüsse
		anfahren
		Motivation
		Hierzu
		Baustellen
		Führerschein
		erscheint
		Übergabestellen
		Führerschein
		
787dcf1d-d222-41a7-9387-d8b696f8c99f	Hierzu werden umfangreiche Kenntnisse der Elektrotechnik, ein sicherer Umgang mit dem PC als auch sehr gute Datenverarbeitungskenntnisse benötigt. Eine sichere Kommunikation in englischer Sprache ist ebenfalls Grundvoraussetzung. Die Möglichkeit in einer zweiten Fremdsprache zu kommunizieren wäre hilfreich. Ein wesentliches Verständnis des Aufbaus und der Funktionsweise optischelektronischer Messgeräte sowie Erfahrungen in Programmiersprachen wie z.B. C++, Basic, Pascal, Qt-Framework und Linux wären von Vorteil.	Grundvoraussetzung
		Erfahrungen
		Kenntnisse
		Kommunikation
		Linux
		Aufbaus
		Umgang
		Basic
		Funktionsweise
		PC
		Sprache
		Elektrotechnik
		C++
		Datenverarbeitungskenntnisse
		Möglichkeit
		Fremdsprache
		kommunizieren
		Verständnis
		Hierzu
		Messgeräte
		Pascal
		Qt-Framework
		
9c18538c-8385-428d-aa93-b7c5f5d764e4	Ihre Kenntnisse: [*] Erfahrung aus der Tätigkeit im Außendienst aus dem Bereich Finanzdienstleistungen_Forderungsmanagement, idealerweise mit rechtlichem Background [*] Höfliches und professionelles Auftreten [*] Freude am Kontakt zum Kunden in einem anspruchsvollen B2B Sektor [*] Sie sind zuverlässig, haben ein hohes Maß an Engagement und Eigenmotivation [*] Sie besitzen gute kommunikative, rhetorische Fähigkeiten und auch die Kompetenz, erklärungsbedürftige Sachverhalte einfach und transparent darzustellen [*] Sie besitzen die Führerscheinklasse B (alt 3) [*] Sie haben gute Kenntnisse in den MS-Office-Programmen [*] Sie verfügen über einen ausgeprägten deutschen Sprachschatz	Kompetenz
		Freude
		Sachverhalte
		Kontakt
		Sprachschatz
		zuverlässig
		Fähigkeiten
		B
		Führerscheinklasse
		Sektor
		Engagement
		Tätigkeit
		Außendienst
		B2B
		Auftreten
		Finanzdienstleistungen_Forderungsmanagement
		Erfahrung
		MS-Office-Programmen
		kommunikative
		Höfliches
		Kenntnisse
		Kenntnisse
		Maß
		Eigenmotivation
		Background
		Kunden
		
8e9a857b-b4b9-4e57-af99-f17712bfd367	Ihr Profil: [*] Sie stehen kurz vor (oder nach) dem Abschluss Ihres Studiums der Informatik, Elektrotechnik oder eines vergleichbaren Studienganges ODER [*] Sie haben Ihre Ausbildung zum Fachinformatiker erfolgreich abgeschlossen [*] Fulltime-Verfügbarkeit und idealerweise hohe Reisebereitschaft [*] Idealerweise erste praktische Erfahrungen im Bereich Software Testing, Qualitätssicherung, Datenbanken und_oder Programmierung [*] Verhandlungssichere Deutsch- und gute Englischkenntnisse [*] Eine hohe Lernbereitschaft sowie eine schnelle Auffassungsgabe	Testing
		Auffassungsgabe
		Fachinformatiker
		kurz
		Studienganges
		Deutsch-
		Ausbildung
		ODER
		Abschluss
		Studiums
		Erfahrungen
		Qualitätssicherung
		Fulltime-Verfügbarkeit
		Lernbereitschaft
		Idealerweise
		Englischkenntnisse
		Datenbanken
		Informatik
		Elektrotechnik
		Reisebereitschaft
		Programmierung
		
ca781577-a9dd-4dde-9ab3-fe58d4b7ebda	Vorausgesetzt wird eine abgeschlossene kaufmännische Ausbildung, sehr gute Kenntnisse der Office-Anwendungen Word, Excel und PowerPoint sowie gute Englischkenntnisse.	PowerPoint
		Kenntnisse
		Englischkenntnisse
		Vorausgesetzt
		Word
		Ausbildung
		Excel
		
f0ad20fc-b16b-4d50-9a9b-4fb2a400d878	Wir suchen eine_n Berufskraftfahrer_in für den Transport von Stahlprodukten im Nahverkehr. Berufserfahrung in der Führung eines Sattelzuges sollten vorhanden sein.	Führung
		Stahlprodukten
		Transport
		Berufserfahrung
		Nahverkehr
		Berufskraftfahrer_in
		Sattelzuges
		
3097f156-130e-4643-8749-9cd41dd10cf5	Idealerweise haben Sie eine Ausbildung als Metallbauer_in bzw. Konstruktionsmechaniker_in oder einem artverwandten Beruf abgeschlossen und verfügen bereits über eine gewisse Berufserfahrung.	Ausbildung
		Konstruktionsmechaniker_in
		Beruf
		Metallbauer_in
		Berufserfahrung
		
c72f4943-e382-4dfe-b206-fa4ea7e36f9e	Ihr Aufgabengebiet umfasst folgende Tätigkeiten [*] Rechnungen, Angebote erstellen [*] Vorbereitende Buchungen für Steuerbüro durchführen [*] Tel. Kundenkontakt [*] allg. Bürotätigkeiten (u.a. Ablagetätigkeiten) [*] MS-Office (Word, Excel) Kaufm. Ausbildung ist Voraussetzung. Mobilität zum Erreichen des Arbeitsplatzes ist erforderlich. Gehalt nach Qualifikation.	Voraussetzung
		Ablagetätigkeiten
		Aufgabengebiet
		Gehalt
		Word
		Ausbildung
		Rechnungen
		Mobilität
		Angebote
		Kaufm
		Tel
		Bürotätigkeiten
		Arbeitsplatzes
		Buchungen
		Excel
		Kundenkontakt
		Tätigkeiten
		MS-Office
		Steuerbüro
		Erreichen
		
01c82ab3-6ad3-488b-8eb1-b63454350f5f	Sie haben eine abgeschlossene Ausbildung und bereits erste Berufserfahrung gesammelt. Zusatzqualifikationen wären wünschenswert, sind aber nicht Bedingung.	Berufserfahrung
		Zusatzqualifikationen
		Ausbildung
		Bedingung
		
61113582-b0a8-410a-a889-583444313bfa	Medizinische_n Fachangestellte_n für 20 Std. wöchentlich. Die Arbeitszeiteinteilung erfolgt nach Absprache, wünschenswert ist Flexibilität. Auf Wunsch kann auch eine geringfügige Beschäftigung angeboten werden.	Beschäftigung
		Wunsch
		Absprache
		Flexibilität
		Medizinische_n
		Std
		Fachangestellte_n
		angeboten
		Arbeitszeiteinteilung
		wöchentlich
		
f08b46a6-0c55-4999-8426-56088e6fc58a	Sie bieten unseren Kindern Kreativität, Begeisterung und Spaß, praktizieren einen partnerschaftlichen Erziehungsstil und arbeiten gerne in einem engagierten Team. Flexibilität und kundenfreundliche Elternarbeit sind für Sie keine Fremdwörter. Sie sind offen für Fort- und Weiterbildung und arbeiten mit dem ___ Bildungs- und Erziehungsplan.	Kindern
		Weiterbildung
		Erziehungsstil
		Flexibilität
		Fort-
		Begeisterung
		Bildungs-
		Elternarbeit
		Team
		Fremdwörter
		Spaß
		Erziehungsplan
		Kreativität
		
cd184ffe-c37e-491a-89a2-8e2a81ab0402	Voraussetzungen: [*] Ausgezeichnete kundenorientierte Umgangsformen [*] teamfähig [*] Erfahrung in einem Kundenorientierten Unternehmen [*] eine extrovertierte Persönlichkeit und kann auf Menschen zugehen [*] schon in der Vergangenheit nach Zielvorgaben gearbeitet [*] Visual flair und Kreativität . Berufserfahrung in ähnlicher Position	Unternehmen
		Umgangsformen
		schon
		Menschen
		Berufserfahrung
		Zielvorgaben
		Kreativität
		Kundenorientierten
		gearbeitet
		Erfahrung
		Position
		flair
		Visual
		Ausgezeichnete
		teamfähig
		Vergangenheit
		Persönlichkeit
		
d3bd801c-a080-4e6c-bbf1-1bd1cb217f9c	Unsere Anforderungen: [*] Körperlich belastbar [*] PKW wünschenswert	Anforderungen
		Körperlich
		belastbar
		PKW
		
8a18d4ad-5312-4899-b00e-78ba2fc712eb	Zur Verstärkung unseres Teams suchen wir zum nächstmöglichen Einstieg eine_n Barkeeper_in. Voraussetzung ist Berufserfahrung. Zudem erwarten wir Ihre Bereitschaft zu Wochenend- und Schichtarbeit.	Teams
		Zudem
		Berufserfahrung
		Bereitschaft
		Voraussetzung
		Einstieg
		Schichtarbeit
		Verstärkung
		Wochenend-
		Barkeeper_in
		
392b4646-a9c7-475c-bc18-880b1625705f	ERWÜNSCHT: [*] Grundlegende Kenntnisse psychiatrischer Störungsbilder des Kindes- und Jugendalters, [*] Teamfähigkeit [*] Flexibilität [*] Belastbarkeit [*] Einsatzbereitschaft [*] Verantwortungsbewusstsein [*] soziale Kompetenz und Einfühlungsvermögen [*] Bereitschaft zur Übernahme von Nachtdiensten.	Teamfähigkeit
		Übernahme
		Jugendalters
		Einfühlungsvermögen
		Kenntnisse
		Einsatzbereitschaft
		Verantwortungsbewusstsein
		Flexibilität
		Belastbarkeit
		Kompetenz
		Grundlegende
		Störungsbilder
		Bereitschaft
		Kindes-
		
21ecfcea-eb66-446d-8a9b-77e384f8ac72	Für unser "___", ein Pflegeheim mit 103 Plätzen, Servicehaus mit 24 Wohnungen_Appartements und ambulanten Pflegedienst, suchen wir einen Wohnbereichsleiter (m_w). Sie sind verantwortlich für die Koordination aller dienstlichen Belange eines Wohnbereiches. Voraussetzung: 1.) examiniert 2.) Berufserfahrung 3.) belastbar 4.) flexibel (Schichtdienst) 5.) Mobilität zum Arbeitsplatz	Pflegeheim
		Plätzen
		Wohnungen_Appartements
		Wohnbereiches
		Mobilität
		Pflegedienst
		Koordination
		Voraussetzung
		Schichtdienst
		Arbeitsplatz
		Wohnbereichsleiter
		Belange
		verantwortlich
		Berufserfahrung
		Servicehaus
		
