Parent ID	Unit ID	Class	Token	Position
			Ausgeprägtes Kosten- und Qualitätsbewusstsein	30
			Selbständiges und zielstrebiges Arbeiten unter hoher Belastung	53
			Organisationstalent	51
			Bauingenieur _ Architekt o . glw. Ausbildung mit betriebswirtschaftlichem Hintergrund	4
			Fundierte Kenntnisse in MS-Office-Anwendungen inkl . MS Projekt	61
			Mehrjährige Berufserfahrung in der Führung anspruchsvoller schlüsselfertiger Großbauvorhaben bei einer Bauunternehmung oder einem Bauträger	15
			
348368	74fba43c-a6ec-4476-8273-56c217356340	COMPETENCE	Zuverlässigkeit	5
			Teamfähigkeit	7
			
298560	75018b51-9178-46ff-9676-9f0cbe1dd67e	COMPETENCE	Berufserfahrung	19
			flexible Berufskraftfahrer	3
			berufstypische Kenntnisse und Fähigkeiten	21
			
105466	785129d3-fac2-4ddc-abfb-708b633753c9	COMPETENCE	Grundkenntnisse Englisch	18
			Hohe Kommunikationsfähigkeit	8
			Bereitschaft zur ständigen Weiterbildung	13
			Teamfähigkeit	11
			Ausgeprägte Dienstleistungsorientierung	5
			
307730	787dcf1d-d222-41a7-9387-d8b696f8c99f	COMPETENCE	wesentliches Verständnis des Aufbaus und der Funktionsweise optischelektronischer Messgeräte	42
			Erfahrungen in Programmiersprachen wie z.B. C++ , Basic , Pascal , Qt-Framework und Linux	52
			sichere Kommunikation in englischer Sprache	21
			Möglichkeit in einer zweiten Fremdsprache zu kommunizieren	31
			sehr gute Datenverarbeitungskenntnisse	15
			umfangreiche Kenntnisse der Elektrotechnik	2
			sicherer Umgang mit dem PC	8
			
241312	78fd0d68-0420-4dc7-8eb0-c98d3ecea79a	COMPETENCE	Berufserfahrung	14
			Führerschein wünschenswert	11
			
307730	79c17268-1815-443d-a4d7-2afa8d7c7153	COMPETENCE	Eigenverantwortlicher , zielstrebiger und selbstständiger Arbeitsstil	24
			Hohe Teamfähigkeit	31
			Fundiertes theoretisches und praktisches Wissen , insbesondere in den Bereichen Analog und Digital-technik sowie im Bereich der Mikrocontroler ( ARM + DSPIC )	34
			Grundkenntnisse der Programmierung in C_C++ , Basic und_oder Pascal sowie Qt-Framework und Linux	72
			Studium der Elektrotechnik oder der technischen Informatik TU_FH	3
			Sehr gute PC-Anwenderkenntnisse und fundierte praktische Erfahrungen , speziell mit MS ¿ Office	58
			Sichere Kommunikation in englischer Sprache , eine weitere Fremdsprache wäre hilfreich	12
			
315852	7cdb57a2-fae7-4d28-af90-1c3eeb6c6091	COMPETENCE	Berufserfahrungen in der Untergrundvorbereitung und Parkett- oder Bodenverlegung	27
			abgeschlossenen Beruf in der Branche	21
			
267562	7ce6de05-00e8-4063-b5f6-d76f0b7730ba	COMPETENCE	Zuverlässigkeit	9
			Flexibilität	11
			Verkaufserfahrung	4
			Kundenfreundlichkeit	7
			
265962	7e550a84-dfef-4d15-a44e-bd7e6f09cdae	COMPETENCE	Anhängererfahrung	4
			Technisches Know-how Lkw	7
			Fahrpraxis Lkw	2
			Ortskenntnisse	10
			ADR Schein	5
			
133738	7f342858-5dd9-4147-808d-66db4eda10d4	COMPETENCE	gute Kenntnisse in MS-Office Programmen wie Excel , Word und Powerpoint	53
			Besitz des Führerscheins der Kl . 3 bzw. B	43
			abgeschlossene Ausbildung im Gewerk Lüftung_Heizung	7
			gute Kommunikations - und Teamfähigkeit	33
			einschlägige Berufserfahrung im Servicebereich , gerne auch gewerkeübergreifend	16
			service- und kundenorientiert	27
			
